Type,Year,Female,Male
Actual,2010,1727534,1209477
Actual,2011,1722023,1211264
Actual,2012,1704772,1204068
Actual,2013,1699316,1201057
Actual,2014,1703725,1211231
Actual,2015,1719966,1221565
Actual,2016,1750692,1221563
Actual,2017,1785060,1220055
Actual,2018,1818576,1216466
Actual,2019,1858200,1214439
Actual,2020,1922913,1219938
Actual,2021,1967393,1244038
Projected,2022,1908707,1182312
Projected,2023,1893388,1158767
Projected,2024,1922120,1180758
Projected,2025,1954086,1207041
Projected,2026,1978956,1225954
Projected,2027,2001089,1242675
Projected,2028,2025402,1261429
Projected,2029,2051571,1281777
Projected,2030,2075713,1301054
Projected,2031,2093951,1317097
